symbol,model,prediction_file,pnl_mode,negative_mode,trading_days,first_date,last_date,ref_close,ref_price_date_used,shares,invested_notional,pnl_predicted,pnl_oracle,final_equity_predicted,final_equity_oracle,total_return_predicted,total_return_oracle,days_long_predicted,days_short_predicted,days_flat_predicted,days_long_oracle,days_short_oracle,days_flat_oracle,return_gap_oracle_minus_predicted,total_return_sign_predicted,total_return_sign_oracle,predicted_underperforms_oracle
PAEL,Prophet,PAEL_predictions_20260311_114438_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,37.62,2026-03-19,2658.0,99993.95999999999,0.0,49040.100000000006,100000.0,149040.1,0.0,0.49040100000000003,0,0,25,12,0,13,0.49040100000000003,0,1,True
PAKD,XGBoost,PAKD_predictions_20260311_114628_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,118.31,2026-03-19,845.0,99971.95,-8559.849999999995,50471.85000000002,91440.15000000001,150471.85000000003,-0.08559849999999995,0.5047185000000002,12,0,13,10,0,15,0.5903170000000001,-1,1,True
PCAL,Prophet,PCAL_predictions_20260311_115544_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,150.0,2026-03-19,667.0,100050.0,-2514.5900000000065,23405.03000000002,97485.40999999999,123405.03000000003,-0.025145900000000065,0.2340503000000002,9,0,16,11,0,14,0.25919620000000027,-1,1,True
PGLC,XGBoost,PGLC_predictions_20260311_115733_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,12.55,2026-03-19,7968.0,99998.40000000001,-1274.8799999999856,43983.35999999998,98725.12000000001,143983.36,-0.012748799999999855,0.43983359999999977,24,0,1,13,0,12,0.4525823999999996,-1,1,True
PIAHCLA,Prophet,PIAHCLA_predictions_20260311_152516_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,20.44,2026-03-19,4892.0,99992.48000000001,0.0,53469.56,100000.0,153469.56,0.0,0.5346955999999999,0,0,25,13,0,12,0.5346955999999999,0,1,True
PIAHCLB,Prophet,PIAHCLB_predictions_20260311_152527_20260304_20260511.csv,shares,flat,22,2026-03-04,2026-04-09,16200.03,2026-03-19,6.0,97200.18000000001,-1072.2000000000044,26640.120000000003,98927.79999999999,126640.12,-0.010722000000000044,0.2664012,17,0,5,9,0,13,0.27712320000000007,-1,1,True
PIM,Prophet,PIM_predictions_20260311_152812_20260304_20260511.csv,shares,flat,21,2026-03-04,2026-04-09,18.54,2026-04-09,5394.0,100004.76,-13377.120000000003,44716.26000000002,86622.88,144716.26,-0.13377120000000003,0.4471626000000002,3,0,18,7,0,14,0.5809338000000002,-1,1,True
PINL,Prophet,PINL_predictions_20260311_120241_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,7.07,2026-03-19,14144.0,99998.08,0.0,54312.96000000001,100000.0,154312.96000000002,0.0,0.5431296000000001,0,0,25,14,0,11,0.5431296000000001,0,1,True
PKGI,Prophet,PKGI_predictions_20260311_120609_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,32.9,2026-03-19,3040.0,100016.0,-11065.600000000002,75148.8,88934.4,175148.8,-0.11065600000000002,0.751488,1,0,24,12,0,13,0.862144,-1,1,True
PKGS,Prophet,PKGS_predictions_20260311_120957_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,677.09,2026-03-19,148.0,100209.32,0.0,41810.0,100000.0,141810.0,0.0,0.4181,0,0,25,10,0,15,0.4181,0,1,True
PNSC,RandomForest,PNSC_predictions_20260311_121149_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,442.73,2026-03-19,226.0,100056.98000000001,-1229.4400000000132,36804.100000000006,98770.55999999998,136804.1,-0.012294400000000132,0.36804100000000006,6,0,19,12,0,13,0.3803354000000002,-1,1,True
POML,RandomForest,POML_predictions_20260311_121504_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,124.35,2026-03-19,804.0,99977.4,-5941.559999999989,34234.319999999985,94058.44000000002,134234.31999999998,-0.05941559999999989,0.34234319999999985,10,0,15,13,0,12,0.40175879999999975,-1,1,True
POWER,Prophet,POWER_predictions_20260311_153004_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,16.63,2026-03-19,6013.0,99996.18999999999,0.0,53996.739999999954,100000.0,153996.73999999996,0.0,0.5399673999999995,0,0,25,13,0,12,0.5399673999999995,0,1,True
PPL,XGBoost,PPL_predictions_20260311_121703_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,213.83,2026-03-19,468.0,100072.44,-8002.799999999997,45995.03999999999,91997.2,145995.03999999998,-0.08002799999999997,0.4599503999999999,3,0,22,11,0,14,0.5399783999999999,-1,1,True
PPVC,Prophet,PPVC_predictions_20260311_121852_20260304_20260511.csv,shares,flat,23,2026-03-04,2026-04-09,16.4,2026-04-09,6098.0,100007.2,-4512.520000000001,35063.5,95487.48,135063.5,-0.04512520000000001,0.350635,1,0,22,6,0,17,0.3957602,-1,1,True
PREMA,RandomForest,PREMA_predictions_20260311_122104_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,26.04,2026-03-19,3840.0,99993.59999999999,-7718.400000000006,40627.200000000026,92281.59999999999,140627.2,-0.07718400000000006,0.40627200000000024,8,0,17,13,0,12,0.48345600000000033,-1,1,True
PRET,Prophet,PRET_predictions_20260311_122157_20260304_20260511.csv,shares,flat,13,2026-03-04,2026-04-09,396.0,2026-04-09,253.0,100188.0,-7096.649999999989,9135.830000000004,92903.35,109135.83,-0.07096649999999989,0.09135830000000003,12,0,1,2,0,11,0.16232479999999994,-1,1,True
PRL,RandomForest,PRL_predictions_20260311_122347_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,30.22,2026-03-19,3309.0,99997.98,-9199.020000000015,57543.509999999995,90800.97999999998,157543.51,-0.09199020000000015,0.5754351,11,0,14,13,0,12,0.6674253000000001,-1,1,True
PRWM,RandomForest,PRWM_predictions_20260311_122439_20260303_20260508.csv,shares,flat,15,2026-03-13,2026-04-09,40.51,2026-04-09,2469.0,100019.19,-4913.310000000005,1086.3599999999944,95086.69,101086.36,-0.04913310000000005,0.010863599999999944,6,0,9,1,0,14,0.05999669999999999,-1,1,True
PSO,RandomForest,PSO_predictions_20260311_122730_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,362.92,2026-03-19,276.0,100165.92,-6063.719999999992,38813.88000000001,93936.28000000001,138813.88,-0.06063719999999992,0.3881388000000001,7,0,18,11,0,14,0.44877600000000006,-1,1,True
PSYL,Prophet,PSYL_predictions_20260311_122839_20260225_20260504.csv,shares,flat,14,2026-03-05,2026-04-09,60.0,2026-03-19,1667.0,100020.0,0.0,16653.330000000016,100000.0,116653.33000000002,0.0,0.16653330000000016,0,0,14,3,0,11,0.16653330000000016,0,1,True
PTL,Prophet,PTL_predictions_20260311_153419_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,49.4,2026-03-19,2024.0,99985.59999999999,0.0,45499.51999999999,100000.0,145499.52,0.0,0.4549951999999999,0,0,25,12,0,13,0.4549951999999999,0,1,True
QUICE,RandomForest,QUICE_predictions_20260311_123339_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,21.84,2026-03-19,4579.0,100005.36,-1511.069999999991,53620.090000000026,98488.93000000001,153620.09000000003,-0.015110699999999911,0.5362009000000002,25,0,0,9,0,16,0.5513116000000001,-1,1,True
RCML,XGBoost,RCML_predictions_20260311_123412_20260304_20260511.csv,shares,flat,17,2026-03-04,2026-04-09,387.88,2026-04-09,258.0,100073.04,-2087.22000000001,25676.16000000001,97912.77999999998,125676.16,-0.020872200000000098,0.2567616000000001,16,0,1,6,0,11,0.2776338000000002,-1,1,True
REWM,Prophet,REWM_predictions_20260311_123632_20260304_20260511.csv,shares,flat,20,2026-03-05,2026-04-09,179.67,2026-03-19,557.0,100076.18999999999,-16425.930000000008,5753.810000000007,83574.06999999999,105753.81000000001,-0.16425930000000008,0.05753810000000007,20,0,0,1,0,19,0.22179740000000014,-1,1,True
RMPL,Prophet,RMPL_predictions_20260311_123848_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,8987.31,2026-03-19,11.0,98860.40999999999,0.0,11000.329999999987,100000.0,111000.32999999999,0.0,0.11000329999999987,0,0,25,12,0,13,0.11000329999999987,0,1,True
RPL,Prophet,RPL_predictions_20260311_124038_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,13.56,2026-03-19,7375.0,100005.0,0.0,39308.75,100000.0,139308.75,0.0,0.3930875,0,0,25,14,0,11,0.3930875,0,1,True
SAIF,Prophet,SAIF_predictions_20260311_124439_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,26.03,2026-03-19,3842.0,100007.26000000001,-8644.5,41647.28000000001,91355.5,141647.28000000003,-0.086445,0.41647280000000014,23,0,2,12,0,13,0.5029178000000001,-1,1,True
SANSM,Prophet,SANSM_predictions_20260311_124506_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,103.36,2026-03-19,967.0,99949.12,0.0,76228.60999999999,100000.0,176228.61,0.0,0.7622860999999999,0,0,25,11,0,14,0.7622860999999999,0,1,True
SARC,Prophet,SARC_predictions_20260311_124701_20260304_20260511.csv,shares,flat,24,2026-03-04,2026-04-09,64.0,2026-03-19,1562.0,99968.0,0.0,56013.32000000003,100000.0,156013.32000000004,0.0,0.5601332000000003,0,0,24,10,0,14,0.5601332000000003,0,1,True
SASML,Prophet,SASML_predictions_20260311_124729_20260304_20260511.csv,shares,flat,19,2026-03-04,2026-04-09,222.6,2026-03-19,449.0,99947.4,-8405.279999999999,27514.719999999987,91594.72,127514.71999999999,-0.08405279999999998,0.27514719999999987,19,0,0,3,0,16,0.35919999999999985,-1,1,True
