symbol,model,prediction_file,pnl_mode,negative_mode,trading_days,first_date,last_date,ref_close,ref_price_date_used,shares,invested_notional,pnl_predicted,pnl_actual,final_equity_predicted,final_equity_actual,total_return_predicted,total_return_actual,days_long_predicted,days_short_predicted,days_flat_predicted,days_long_actual,days_short_actual,days_flat_actual,return_gap_actual_minus_predicted,total_return_sign_predicted,total_return_sign_actual,predicted_underperforms_actual
DCL,RandomForest,DCL_predictions_20260311_073716_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,7.42,2026-03-19,13477.0,99999.34,9972.979999999992,55929.55000000001,109972.98,155929.55000000002,0.09972979999999992,0.5592955000000001,17,0,8,12,0,13,0.45956570000000013,1,1,True
DCR,Prophet,DCR_predictions_20260311_073918_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,35.94,2026-03-19,2782.0,99985.07999999999,584.2200000000012,15273.180000000046,100584.22,115273.18000000005,0.005842200000000012,0.15273180000000044,25,0,0,13,0,12,0.14688960000000043,1,1,True
DEL,RandomForest,DEL_predictions_20260311_144522_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,15.49,2026-03-19,6456.0,100003.44,22466.880000000012,82959.59999999998,122466.88,182959.59999999998,0.2246688000000001,0.8295959999999998,9,0,16,13,0,12,0.6049271999999997,1,1,True
DFSM,Prophet,DFSM_predictions_20260311_074310_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,5.27,2026-03-19,18975.0,99998.24999999999,30359.999999999993,71915.25,130360.0,171915.25,0.3035999999999999,0.7191525,25,0,0,16,0,9,0.41555250000000005,1,1,True
DINT,Prophet,DINT_predictions_20260311_074523_20260304_20260511.csv,shares,flat,22,2026-03-04,2026-04-09,60.51,2026-04-09,1653.0,100023.03,17835.87,28944.03,117835.87,128944.03,0.17835869999999998,0.2894403,14,0,8,4,0,18,0.1110816,1,1,True
DSIL,XGBoost,DSIL_predictions_20260311_075132_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,6.38,2026-03-19,15674.0,100000.12,7366.779999999997,53605.080000000016,107366.78,153605.08000000002,0.07366779999999996,0.5360508000000002,15,0,10,13,0,12,0.4623830000000002,1,1,True
DSL,Prophet,DSL_predictions_20260311_075327_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,5.48,2026-03-19,18248.0,99999.04000000001,6751.76,35401.12,106751.76,135401.12,0.0675176,0.3540112,24,0,1,9,0,16,0.2864936,1,1,True
DYNO,RandomForest,DYNO_predictions_20260311_075749_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,262.53,2026-03-19,381.0,100023.93,5391.150000000013,29127.449999999975,105391.15000000001,129127.44999999998,0.05391150000000013,0.29127449999999977,9,0,16,13,0,12,0.23736299999999963,1,1,True
EFUG,RandomForest,EFUG_predictions_20260311_080223_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,120.0,2026-03-19,833.0,99960.0,8513.26,32978.46999999999,108513.26,132978.46999999997,0.0851326,0.3297846999999999,12,0,13,11,0,14,0.24465209999999987,1,1,True
ELSM,XGBoost,ELSM_predictions_20260311_080434_20260304_20260511.csv,shares,flat,21,2026-03-05,2026-04-09,112.04,2026-03-19,893.0,100051.72,5652.690000000011,23048.33,105652.69000000002,123048.33,0.056526900000000116,0.23048330000000003,10,0,11,5,0,16,0.1739563999999999,1,1,True
EPQL,RandomForest,EPQL_predictions_20260311_145013_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,24.78,2026-03-19,4036.0,100012.08,3188.4400000000114,18605.959999999985,103188.44000000002,118605.95999999999,0.03188440000000011,0.18605959999999985,20,0,5,12,0,13,0.15417519999999973,1,1,True
FABL,XGBoost,FABL_predictions_20260311_081147_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,83.48,2026-03-19,1198.0,100009.04000000001,31639.180000000015,47033.479999999996,131639.18000000002,147033.47999999998,0.31639180000000017,0.47033479999999994,13,0,12,12,0,13,0.15394299999999977,1,1,True
FASM,RandomForest,FASM_predictions_20260311_081310_20260304_20260511.csv,shares,flat,24,2026-03-04,2026-04-09,415.0,2026-03-19,241.0,100015.0,14264.790000000012,53930.979999999996,114264.79000000001,153930.97999999998,0.1426479000000001,0.5393098,13,0,11,12,0,12,0.39666189999999985,1,1,True
FCCL,XGBoost,FCCL_predictions_20260311_081653_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,38.98,2026-03-19,2565.0,99983.7,37936.34999999998,62739.90000000001,137936.34999999998,162739.90000000002,0.37936349999999974,0.627399,14,0,11,10,0,15,0.2480355000000003,1,1,True
FCIBL,Prophet,FCIBL_predictions_20260311_145101_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,22.73,2026-03-19,4399.0,99989.27,102232.75999999998,137732.68999999997,202232.75999999998,237732.68999999997,1.0223276,1.3773268999999997,25,0,0,16,0,9,0.3549992999999998,1,1,True
FCL,Prophet,FCL_predictions_20260311_145114_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,20.39,2026-03-19,4904.0,99992.56,441.3600000000006,34180.88,100441.36,134180.88,0.004413600000000006,0.34180879999999997,17,0,8,11,0,14,0.33739519999999995,1,1,True
FCSC,RandomForest,FCSC_predictions_20260311_082034_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,4.06,2026-03-19,24631.0,100001.85999999999,9852.400000000007,76356.09999999999,109852.40000000001,176356.09999999998,0.09852400000000007,0.7635609999999999,11,0,14,14,0,11,0.6650369999999999,1,1,True
FECM,Prophet,FECM_predictions_20260311_082203_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,16.09,2026-03-19,6215.0,99999.35,30453.499999999993,71721.1,130453.5,171721.1,0.30453499999999994,0.717211,25,0,0,12,0,13,0.4126760000000001,1,1,True
FEROZ,RandomForest,FEROZ_predictions_20260311_082621_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,314.33,2026-03-19,318.0,99956.93999999999,30289.49999999998,45744.29999999999,130289.49999999999,145744.3,0.3028949999999998,0.4574429999999999,17,0,8,13,0,12,0.15454800000000007,1,1,True
FFL,XGBoost,FFL_predictions_20260311_083013_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,15.04,2026-03-19,6649.0,100000.95999999999,6183.5700000000215,38896.64999999999,106183.57000000002,138896.65,0.061835700000000215,0.3889664999999999,15,0,10,13,0,12,0.32713079999999967,1,1,True
FHAM,RandomForest,FHAM_predictions_20260311_083232_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,29.88,2026-03-19,3347.0,100008.36,8668.73,27512.339999999997,108668.73,127512.34,0.0866873,0.27512339999999996,19,0,6,13,0,12,0.18843609999999997,1,1,True
FIBLM,Prophet,FIBLM_predictions_20260311_083309_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,10.73,2026-03-19,9320.0,100003.6,15657.599999999995,58436.399999999994,115657.59999999999,158436.4,0.15657599999999994,0.584364,25,0,0,14,0,11,0.42778800000000006,1,1,True
FLYNG,RandomForest,FLYNG_predictions_20260311_083507_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,40.67,2026-03-19,2459.0,100007.53,2213.0999999999963,30860.450000000004,102213.09999999999,130860.45000000001,0.022130999999999963,0.30860450000000006,3,0,22,9,0,16,0.2864735000000001,1,1,True
FPJM,Prophet,FPJM_predictions_20260311_083852_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,6.0,2026-03-19,16667.0,100002.0,5166.77000000002,43167.53000000003,105166.77000000002,143167.53000000003,0.051667700000000205,0.43167530000000026,17,0,8,12,0,13,0.38000760000000006,1,1,True
FRCL,RandomForest,FRCL_predictions_20260311_084040_20260304_20260511.csv,shares,flat,22,2026-03-04,2026-04-09,63.17,2026-03-19,1583.0,99998.11,9149.740000000002,21148.879999999997,109149.74,121148.88,0.09149740000000002,0.21148879999999998,12,0,10,3,0,19,0.11999139999999996,1,1,True
FRSM,RandomForest,FRSM_predictions_20260311_084154_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,45.29,2026-03-19,2208.0,100000.31999999999,19629.120000000003,36763.2,119629.12,136763.2,0.19629120000000003,0.36763199999999996,18,0,7,7,0,18,0.17134079999999993,1,1,True
FTSM,RandomForest,FTSM_predictions_20260311_084336_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,23.23,2026-03-19,4305.0,100005.15000000001,17564.40000000001,105816.90000000001,117564.40000000001,205816.90000000002,0.17564400000000008,1.0581690000000001,14,0,11,14,0,11,0.882525,1,1,True
FZCM,XGBoost,FZCM_predictions_20260311_084443_20260304_20260511.csv,shares,flat,24,2026-03-04,2026-04-09,201.42,2026-03-19,496.0,99904.31999999999,5986.720000000011,23669.120000000017,105986.72000000002,123669.12000000002,0.05986720000000011,0.23669120000000018,14,0,10,9,0,15,0.17682400000000006,1,1,True
GATM,Prophet,GATM_predictions_20260311_085106_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,18.81,2026-03-19,5316.0,99993.95999999999,9515.640000000014,44707.56000000002,109515.64000000001,144707.56000000003,0.09515640000000014,0.4470756000000002,17,0,8,10,0,15,0.35191920000000004,1,1,True
GEMSPNL,RandomForest,GEMSPNL_predictions_20260311_145521_20260304_20260511.csv,shares,flat,12,2026-03-04,2026-03-19,85.95,2026-03-19,1163.0,99959.85,36727.54,39716.45,136727.54,139716.45,0.36727540000000003,0.3971645,10,0,2,9,0,3,0.029889099999999946,1,1,True
GFIL,RandomForest,GFIL_predictions_20260311_085235_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,19.61,2026-03-19,5099.0,99991.39,46196.93999999998,71895.9,146196.93999999997,171895.9,0.4619693999999998,0.7189589999999999,16,0,9,18,0,7,0.2569896000000001,1,1,True
GGGL,RandomForest,GGGL_predictions_20260311_085432_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,7.7,2026-03-19,12987.0,99999.90000000001,5974.0199999999995,39220.73999999998,105974.02,139220.74,0.05974019999999999,0.3922073999999998,8,0,17,13,0,12,0.33246719999999985,1,1,True
GGL,RandomForest,GGL_predictions_20260311_085625_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,15.34,2026-03-19,6519.0,100001.45999999999,3389.879999999986,49153.26000000001,103389.87999999999,149153.26,0.03389879999999986,0.4915326000000001,6,0,19,12,0,13,0.45763380000000026,1,1,True
GHGL,Prophet,GHGL_predictions_20260311_085817_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,30.65,2026-03-19,3263.0,100010.95,12105.730000000007,42941.08,112105.73000000001,142941.08000000002,0.12105730000000006,0.42941080000000004,25,0,0,14,0,11,0.30835349999999995,1,1,True
GLAXO,Prophet,GLAXO_predictions_20260311_090202_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,316.79,2026-03-19,316.0,100105.64,1377.7599999999863,41032.600000000006,101377.75999999998,141032.6,0.013777599999999864,0.4103260000000001,3,0,22,12,0,13,0.3965484000000002,1,1,True
GOC,RandomForest,GOC_predictions_20260311_090408_20260304_20260511.csv,shares,flat,21,2026-03-04,2026-04-09,85.0,2026-03-19,1176.0,99960.0,2551.920000000002,18816.0,102551.92,118816.0,0.02551920000000002,0.18816,14,0,7,3,0,18,0.16264079999999997,1,1,True
GSPM,Prophet,GSPM_predictions_20260311_090523_20260304_20260511.csv,shares,flat,22,2026-03-04,2026-04-09,3.93,2026-04-09,25445.0,99998.85,8142.400000000006,94909.84999999999,108142.40000000001,194909.84999999998,0.08142400000000007,0.9490985,7,0,15,10,0,12,0.8676744999999999,1,1,True
HBL,XGBoost,HBL_predictions_20260311_091806_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,258.16,2026-03-19,387.0,99907.92000000001,6830.550000000026,42225.56999999998,106830.55000000003,142225.56999999998,0.06830550000000025,0.4222556999999998,17,0,8,12,0,13,0.35395019999999955,1,1,True
HBLTETF,RandomForest,HBLTETF_predictions_20260311_145756_20260304_20260511.csv,shares,flat,23,2026-03-04,2026-04-09,110.14,2026-03-19,908.0,100007.12,635.6000000000026,1325.6800000000073,100635.6,101325.68000000001,0.0063560000000000266,0.013256800000000074,23,0,0,11,0,12,0.006900800000000047,1,1,True
HIRAT,RandomForest,HIRAT_predictions_20260311_092957_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,3.26,2026-03-19,30675.0,100000.5,6441.750000000011,55214.99999999998,106441.75000000001,155214.99999999997,0.06441750000000011,0.5521499999999998,6,0,19,13,0,12,0.4877324999999997,1,1,True
HMB,RandomForest,HMB_predictions_20260311_093148_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,106.47,2026-03-19,939.0,99975.33,6845.310000000005,29080.829999999984,106845.31,129080.82999999999,0.06845310000000004,0.29080829999999985,19,0,6,9,0,16,0.2223551999999998,1,1,True
HRPL,Prophet,HRPL_predictions_20260311_093304_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,18.02,2026-03-19,5549.0,99992.98,1942.1500000000083,38787.51000000001,101942.15000000001,138787.51,0.01942150000000008,0.3878751000000001,25,0,0,11,0,14,0.3684536,1,1,True
HUBC,Prophet,HUBC_predictions_20260311_093503_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,195.18,2026-03-19,512.0,99932.16,3430.399999999994,42019.83999999998,103430.4,142019.83999999997,0.03430399999999994,0.4201983999999998,25,0,0,11,0,14,0.38589439999999986,1,1,True
HWQS,RandomForest,HWQS_predictions_20260311_093813_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,18.3,2026-03-19,5464.0,99991.2,17594.08000000001,69338.16,117594.08000000002,169338.16,0.1759408000000001,0.6933816,20,0,5,14,0,11,0.5174407999999999,1,1,True
IBLHL,Prophet,IBLHL_predictions_20260311_094103_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,42.94,2026-03-19,2329.0,100007.26,16396.159999999996,50539.30000000005,116396.16,150539.30000000005,0.16396159999999996,0.5053930000000004,25,0,0,15,0,10,0.3414314000000005,1,1,True
